#	SYM	#
#1	NUM	#1
#2	SYM	#2
#aivot	NOUN	#aivot
#aivoviikko	NOUN	#aivo#viikko
#alkoholilaki	NOUN	#alkoholi#laki
#amistenpuolella	X	#amistenpuolella
#ammatillinenkoulutus	NOUN	#ammatillinen#koulutus
#blogit	NOUN	#blogi
#cmoref1	X	#cmoref1
#dog	X	#dog
#esimerkki	NOUN	#esimerkki
#esimiestyö	NOUN	#esi#mies#työ
#eslonecologne	X	#ESLOneCologne
#eurojatalous	X	#eurojatalous
#finanssiala	NOUN	#finanssi#ala
#finland100	X	#finland100
#finnishlapphund	X	#finnishlapphund
#forest	X	#forest
#hashtag	X	#hashtag
#hctps:n	PROPN	#HCTPS
#helsinki	PROPN	#Helsinki
#hyvinvointi	NOUN	#hyvin#vointi
#intiaanipäähinegate:n	NOUN	#intiaani#päähine#gate
#itsensäjohtaminen	X	#itsensäjohtaminen
#johtaminen	NOUN	#johtaminen
#jännä	ADJ	#jännä
#kansijaareena	X	#kansijaareena
#kiitollisuuskalenteri	NOUN	#kiitollisuus#kalenteri
#koira	NOUN	#koira
#kookoo	PROPN	#KooKoo
#kopla	PROPN	#Kopla
#kott2016	X	#kott2016
#koulu17	X	#koulu17
#koulutus	NOUN	#koulutus
#kuluttaminen	NOUN	#kuluttaminen
#kuopio	PROPN	#Kuopio
#kups	PROPN	#KuPS
#kuvakulma	NOUN	#kuva#kulma
#liiga	PROPN	#Liiga
#luonto	NOUN	#luonto
#luontokuva	NOUN	#luonto#kuva
#luontopolku	NOUN	#luonto#polku
#luontotwiitti	NOUN	#luonto#twiitti
#maksuliiketilastot	NOUN	#maksu#liike#tilasto
#media	NOUN	#media
#mekaanikko'ja	NOUN	mekaanikko
#metsä	NOUN	#metsä
#nature	X	#nature
#nevöföget	X	#nevöföget
#nuoret	NOUN	#nuori
#oikea	ADJ	#oikea
#oscarit	PROPN	#Oscar
#ostatyötäsuomeen	X	#ostatyötäsuomeen
#ostokset	NOUN	#ostos
#palaute	NOUN	#palaute
#palokunta	NOUN	#palo#kunta
#passion	X	#passion
#peliaddiktio	NOUN	#peli#addiktio
#peliriippuvuus	NOUN	#peli#riippuvuus
#pesis	NOUN	#pesis
#photography	X	#photography
#pielavesi	PROPN	#Pielavesi
#pitkospuut	NOUN	#pitkos#puut
#porraspäivät	NOUN	#porras#päivät
#pyöräily	NOUN	#pyöräily
#raskausaika	NOUN	#raskaus#aika
#rekry	NOUN	#rekry
#rekrykoulutus-hakuaikaa	NOUN	#RekryKoulutus#haku#aika
#ruokatauolla	NOUN	#ruoka#tauko
#sairaus	NOUN	#sairaus
#salibandy	NOUN	#sali#bandy
#sikiö	NOUN	#sikiö
#sorisiitä	X	#sorisiitä
#srvrakentaa	X	#SRVrakentaa
#stressi	NOUN	#stressi
#suomenlapinkoira	NOUN	#suomen#lapin#koira
#suomi100	PROPN	#suomi100
#suomiareena	PROPN	#suomi#areena
#susijengi	PROPN	#Susijengi
#tautiluokitus	NOUN	#tauti#luokitus
#testiin	NOUN	#testi
#tietovuoto	NOUN	#tieto#vuoto
#tutkimus	NOUN	#tutkimus
#tvof	PROPN	#tvof
#työ	NOUN	#työ
#työilmapiiri	NOUN	#työ#ilma#piiri
#työpaikat	NOUN	#työ#paikka
#unelmaduuni	NOUN	#unelma#duuni
#uusivaihtoehto	X	#uusivaihtoehto
#uutisvahti	NOUN	#uutis#vahti
#uv	NOUN	#uv
#vakuutus	NOUN	#vakuutus
#varusmiestenkuntotesti	X	#varusmiestenkuntotesti
#vastuu	NOUN	#vastuu
#viestikoelaitos	NOUN	#viesti#koe#laitos
#vpk	PROPN	#vpk
#who	PROPN	#WHO
#yrityskulttuuri	NOUN	#yritys#kulttuuri
%:	NOUN	%
%:een	NOUN	%
%:iin	NOUN	%
%:lla	NOUN	%
%:lla	SYM	%
%:n	NOUN	%
%:n	SYM	%
%:sta	NOUN	%
'omenakatu'a	NOUN	omenakatu
-ajattelu	NOUN	ajattelu
-akatemiaan	NOUN	akatemia
-alalajin	NOUN	ala#laji
-albumi	NOUN	albumi
-albumilla	NOUN	albumi
-albumin	NOUN	albumi
-aloitteesta	NOUN	aloite
-alueen	NOUN	alue
-alueet	NOUN	alue
-aluksessa	NOUN	alus
-alukset	NOUN	alus
-antologia	NOUN	antologia
-artikkelin	NOUN	artikkeli
-asetelmassa	NOUN	asetelma
-asetusehdotuksen	NOUN	asetus#ehdotus
-autossa	NOUN	auto
-baltsut	NOUN	baltsu
-bileitä	NOUN	bileet
-dinosaurus	NOUN	dinosaurus
-dynastia	NOUN	dynastia
-dynastiaan	NOUN	dynastia
-dynastian	NOUN	dynastia
-ehdokkuuden	NOUN	ehdokkuus
-elokuva	NOUN	elo#kuva
-elokuvaa	NOUN	elo#kuva
-elokuvassa	NOUN	elo#kuva
-ennätys	NOUN	ennätys
-ep:llä	NOUN	EP
-erikoistyötapahtuma	NOUN	erikois#työ#tapahtuma
-gaalassa	NOUN	gaala
-hahmoiksi	NOUN	hahmo
-hallinto	NOUN	hallinto
-hanke	NOUN	hanke
-hankehaun	NOUN	hanke#haku
-hankehaussa	NOUN	hanke#haku
-hankkeen	NOUN	hanke
-hankkeesta	NOUN	hanke
-hauissa	NOUN	haku
-hengessä	NOUN	henki
-henkisellä	ADJ	henkinen
-hinnalla	NOUN	hinta
-hotelli	NOUN	hotelli
-hotellissa	NOUN	hotelli
-huippuyksikköä	NOUN	huippu#yksikkö
-huonekalutavaratalo	NOUN	huone#kalu#tavara#talo
-hyvinvointihenkilön	NOUN	hyvin#vointi#henkilö
-hyökkäykseensä	NOUN	hyökkäys
-ilmiön	NOUN	ilmiö
-imitaattori	NOUN	imitaattori
-indeksi	NOUN	indeksi
-infuusio	NOUN	infuusio
-instituuttiin	NOUN	instituutti
-intensiivikurssia	NOUN	intensiivi#kurssi
-jaottelu	NOUN	jaottelu
-jaottelua	NOUN	jaottelu
-joella	NOUN	joki
-joen	NOUN	joki
-järjestelmälle	NOUN	järjestelmä
-järjestelmän	NOUN	järjestelmä
-järjestelmässä	NOUN	järjestelmä
-järjestelyt	NOUN	järjestely
-järjestön	NOUN	järjestö
-järjestöstä	NOUN	järjestö
-järven	NOUN	järvi
-kadulla	NOUN	katu
-kaksiosta	NOUN	kaksio
-kanavalla	NOUN	kanava
-kanyylin	NOUN	kanyyli
-kappaleen	NOUN	kappale
-kappaletta	NOUN	kappale
-kassien	NOUN	kassi
-keikkojen	NOUN	keikka
-keskuksen	NOUN	keskus
-keskustelupalstan	NOUN	keskustelu#palsta
-kierroksella	NOUN	kierros
-kiertuettaan	NOUN	kiertue
-kirjasarjan	NOUN	kirja#sarja
-kirjasta	NOUN	kirja
-kirjat	NOUN	kirja
-kirjeet	NOUN	kirje
-kirjoista	NOUN	kirja
-kirjoja	NOUN	kirja
-kivennäisjuomia	NOUN	kivennäis#juoma
-klassikon	NOUN	klassikko
-kokkien	NOUN	kokki
-kokoinen	ADJ	kokoinen
-kommunikaation	NOUN	kommunikaatio
-konsepti	NOUN	konsepti
-koripallojoukkueen	NOUN	kori#pallo#joukkue
-kotirouva	NOUN	koti#rouva
-koulussa	NOUN	koulu
-kulttuurin	NOUN	kulttuuri
-kumppaninsa	NOUN	kumppani
-kuningaskunta	NOUN	kuningas#kunta
-kunnianosoitus	NOUN	kunnian#osoitus
-kuvissa	NOUN	kuva
-lasten	NOUN	lapsi
-laulustaan	NOUN	laulu
-lausunto	NOUN	lausunto
-lehdelle	NOUN	lehti
-lehden	NOUN	lehti
-lehdessä	NOUN	lehti
-lehdestä	NOUN	lehti
-lehti	NOUN	lehti
-lentokoneen	NOUN	lento#kone
-lentoyhtiö	NOUN	lento#yhtiö
-lentoyhtiöllä	NOUN	lento#yhtiö
-levy	NOUN	levy
